Name,website,Est. Date,HQ,Funds(total),Last Funding Type,CB Rank,#employees
Survey Monkey,surveymonkey.com,1999,"San Mateo, USA","$1,100,000,000.00",Private Equity(IPO),609,501-1000
Qualtrics (SAP),qualtrics.com,2002,"Provo, Utah, USA","$400,000,000.00",Series C,339,
Reward Gateway,rewardgateway.com,2006,"Boston, USA","$220,000,000.00",acqisation by Great Hill Partners,"61,750",251-500
Culture Amp,cultureamp.com,2011,"Asia-Pacific(APAC), Australasia/ Melbourne, Australia","$157,500,000.00",Series E,,51-100
Reflektive,reflective.com,2014,"San Francisco, USA","$101,600,000.00",Series C,"2,413",101 - 250
Glint (LinkedIn),glintinc.com,2013,"Redwood City, USA","$79,500,000.00",Series D,"2,875",101 - 250
Peakon,peakon.com,2014,"Copenhagen, Denmark","$68,000,000.00",Series B,"2,248",101 - 250
15Five,15five.com,2011,"San Francisco, USA","$42,100,000.00",Series B,"2,653",101-250
eloomi,eloomi.com,2015,"Copenhagen, Denmark","$16,700,000.00",Series A,"6,548",51-100
Energage,energage.com,2006,"Exton, USA","$15,000,000.00",NaN,"9,964",101-250
Impraise,impraise.com,2014,"New York, USA","$12,300,000.00",Series A,"7,862",51-100
TinyPulse,tinypulse.com,2012,"Seattle,USA","$9,500,000.00",Series B,"7,661",101-250
Polly (Subcurrent),polly.ai,2015,"Seattle,USA","$8,300,000.00",Series A,"8,391",43840
RoundPegg,roundpegg.com,2009,"Boulder, USA","$6,100,000.00",Series B,"33,054",18568
SalesScreen,salesscreen.com,2014,"Oslo, Norway","$4,000,000.00",undisclosed,"21,096",18568
Rollyware,rallyware.com,2012,"Mountain View, USA","$2,300,000.00",unknown,"19,676",51-100
Survey Sparrow,surveysparrow.com,2017,"Walnut, USA","$1,400,000.00",unknown,"61,120",18568
intuo (UNIT4),intuo.io,2013,"Ghent, Belgium","$1,200,000.00",Seed,"24,034",18568
Officevibe,officevibe.com,2014,"Montréal, Canada","$1,000,000.00",seed,"66,827",18568
Team Echo,teamecho.at,2015,"Linz, Austria","$310,000.00",Angel,"67,746",43840
Weekdone,weekdone.com,2009,"Tartu, Estonia (EU)","$290,000.00",seed,"28,048",18568
Ambassify,ambassify.com,2010,"Ham, Belgium","$50,000.00",seed,"65,784",18568
SoGo Survey,sogosurvey.com,2013,"Herndon, USA",NaN,unknown,"101,765",251 - 500
Question Pro,questionpro.com,2002,"Austin, USA",NaN,unknown,"59,463",251 - 500
6Q,6q.io,2014,"Maylands, Australia",NaN,unknown,"171,659",18568
Leapsome,leapsome.com,2016,"Berlin, Germany",NaN,unknown,"74,111",18568
DeskAlert,alert-software.com,2006,"Alexandria, USA",NaN,unknown,"152,945",18568
Hppy,gethppy.com,2013,"Wilmington, USA",NaN,unknown,"131,227",43840
